image,caption
1003163366.jpg, a man sleeping on a bench outside with a white and black dog sitting next to him .
1003163366.jpg, A man lays on the bench to which a white dog is also tied .
1003163366.jpg, man laying on bench holding leash of dog sitting on ground
1003163366.jpg, A shirtless man lies on a park bench with his dog .
1003163366.jpg, A man lays on a bench while his dog sits by him .
1003420127.jpg," A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments ."
1003420127.jpg," Five musicians , a man and four women , practicing sheet music (using flutes ) in a living room ."
1003420127.jpg," People gathered in a circle , some holding musical instruments ."
1003420127.jpg, People gathered in a room to talk about their favorite tunes .
1003420127.jpg, Five people are sitting in a circle with instruments .
100444898.jpg, A person in gray stands alone on a structure outdoors in the dark .
100444898.jpg, A large structure has broken and is laying in a roadway .
100444898.jpg, A man in a gray coat is standing on a washed out bridge .
100444898.jpg, A man stands on wooden supports and surveys damage .
100444898.jpg, A man in a jacket and jeans standing on a bridge .
100716317.jpg, A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
100716317.jpg," A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene ."
100716317.jpg, A person with gray hair is painting in a public place surrounded by others who are also painting .
100716317.jpg, Lady in blue coat with white and brown hat standing in front of a painting .
100716317.jpg, Passerby admiring painting at an outdoor art fair .
1009434119.jpg, A black and white dog is running in a grassy garden surrounded by a white fence .
1009434119.jpg, A Boston Terrier is running on lush green grass in front of a white fence .
1009434119.jpg, A black and white dog is running through the grass .
1009434119.jpg, A dog runs on the green grass near a wooden fence .
1009434119.jpg, A Boston terrier is running in the grass .
1009692167.jpg, An officer in a reflective vest stands at the front of his van with his dog .
1009692167.jpg, A trained police dog sits next to his handler in front of the police van .
1009692167.jpg, A security man with his watch dog is looking for something .
1009692167.jpg, A policeman is standing with a German Shepherd dog .
1009692167.jpg, A policeman stops on a street with a search dog .
1010673430.jpg, A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
1010673430.jpg, Two young children eating a snack and playing in the grass .
1010673430.jpg, Two young toddlers outside on the grass .
1010673430.jpg, Two infants are at play in the yard .
1010673430.jpg, 2 female babies eating chips .
101093045.jpg," A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier ."
101093045.jpg, A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .
101093045.jpg, A person riding in a futuristic single-person vehicle .
101093045.jpg, man walking up to silver 4-wheeled chair
101093045.jpg, A man walks by a silver vehicle .
1012150929.jpg, A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
1012150929.jpg, A young boy plays a video game in a McDonald 's restaurant .
1012150929.jpg, A young boy plays with a GameCube kiosk at McDonald 's .
1012150929.jpg, A little boy playing GameCube at a McDonald 's .
1012150929.jpg, A little kid playing GameCube at McDonald 's .
1015712668.jpg, A man in a red long-sleeved shirt bikes over a body of water on a bridge .
1015712668.jpg, A man riding his bike across the bridge that is over the river .
1015712668.jpg, A man in red on a bicycle rides past a glass structure .
